tempo= 226
78.0 zyje^932%
78.25 921
78.5 1%
78.75 3*
79.0 ye921%
79.25 921
79.5 ^3%
79.75 1
80.0 ^ZYJED@1*(%
80.5 E@3(%
81.0 zd1%
81.25 E@1(
81.5 3%
82.0 kaE@1(%
82.25 1
82.5 3%
82.75 E@1(
83.0 PJ%
83.25 1
83.5 YE@3(%
83.75 ur310
84.0 ZYED@1(%
84.5 E@3(%
85.0 zd1%
85.25 E@1(
85.5 3%
86.0 rka310%
86.25 1
86.5 3%
86.75 ur310
87.0 PJ%
87.25 1
87.5 3%
87.75 1
88.0 ZYOJHE@1(%
88.5 E@3(%
89.0 oh1%
89.25 E@1(
89.5 3%
90.0 E@1(%
90.25 1
90.5 E@3(%
90.75 E@1(
91.0 %
91.25 1
91.5 YE@3(%
91.75 ur310
92.0 YE@1(%
92.5 E@3(%
93.0 1%
93.25 E@1(
93.5 ye932%
93.75 YE@(
94.0 zyje921%
94.25 921
94.5 3%
94.75 1
95.0 ye92%
95.25 921
95.5 3%
95.75 1
96.0 ^ZYJED@1*(%
96.5 E@3(%
97.0 zd1%
97.25 E@1(
97.5 3%
98.0 kaE@1(%
98.25 1
98.5 3%
98.75 E@1(
99.0 PJ%
99.25 1
99.5 YE@3(%
99.75 ur310
100.0 ZYED@1(%
100.5 E@3(%
101.0 zd1%
101.25 E@1(
101.5 3%
102.0 rka310%
102.25 1
102.5 3%
102.75 ur310
103.0 xf%
103.25 1
103.5 3%
103.75 1
104.0 ZYJED@1(%
104.5 E@3(%
105.0 1%
105.25 E@1(
105.5 3%
106.0 E@1(%
106.25 1
106.5 E@3(%
106.75 E@1(
107.0 %
107.25 1
107.5 YE@3(%
107.75 ur310
108.0 YE@1(%
108.5 E@3(%
109.0 1%
109.25 E@1(
109.5 ye932%
109.75 YE@(
110.0 zyje^932%
110.25 921
110.5 1%
110.75 3*
111.0 ye921%
111.25 921
111.5 ^3%
111.75 1
112.0 ^ZJ@1*%
112.25 E@(
112.5 ^3%
112.75 E@(
113.0 r^310%
113.25 1
113.5 e@932%
114.0 e9721%
114.25 1
114.5 tq743%
114.75 1
115.0 tq4%
115.25 1
115.5 e^932%
115.75 r310
116.0 ^1%
116.25 E@(
116.5 @3%
116.75 E@(
117.0 r310%
117.25 1
117.5 e932%
118.0 ke921%$
118.25 1
118.5 TQ3%$
118.75 1
119.0 TQ%$
119.25 1
119.5 E@43(%
119.75 r310
120.0 ZJ@1%
120.25 E@(
120.5 ^3%
120.75 E@(
121.0 r^310%
121.25 1
121.5 e@932%
122.0 e9721%
122.25 1
122.5 tq743%
122.75 1
123.0 tq4%
123.25 1
123.5 e^932%
123.75 r310
124.0 ^1%
124.25 E@(
124.5 @3%
124.75 E@(
125.0 r310%
125.25 1
125.5 e932%
126.0 zje921%$
126.25 1
126.5 TQ3%$
126.75 1
127.0 TQ%$
127.25 1
127.5 E@43(%
127.75 r310
128.0 ^ZJ@1*%
128.25 E@(
128.5 ^3%
128.75 E@(
129.0 r^310%
129.25 1
129.5 e@932%
130.0 e9721%
130.25 1
130.5 tq743%
130.75 1
131.0 tq4%
131.25 1
131.5 e^932%
131.75 r310
132.0 ^1%
132.25 E@(
132.5 @3%
132.75 E@(
133.0 r310%
133.25 1
133.5 e932%
134.0 ke921%$
134.25 1
134.5 TQ3%$
134.75 1
135.0 TQ%$
135.25 1
135.5 E@43(%
135.75 r310
136.0 ZJ@1%
136.25 E@(
136.5 ^3%
136.75 E@(
137.0 r^310%
137.25 1
137.5 e@932%
138.0 e9721%
138.25 1
138.5 tq743%
138.75 1
139.0 tq4%
139.25 1
139.5 e^932%
139.75 r310
140.0 ^
140.25 E@(
140.5 @
140.75 E@(
141.0 r30%
141.5 e92%
142.0 ^3%
142.25 1
142.5 1%
142.75 3*
143.0 1%
143.25 1
143.5 ^3%
143.75 1
144.0 ^ZYJED@1*(%
144.5 E@3(%
145.0 zd1%
145.25 E@1(
145.5 3%
146.0 kaE@1(%
146.25 1
146.5 3%
146.75 E@1(
147.0 PJ%
147.25 1
147.5 YE@3(%
147.75 ur310
148.0 ZYED@1(%
148.5 E@3(%
149.0 zd1%
149.25 E@1(
149.5 3%
150.0 rka310%
150.25 1
150.5 3%
150.75 ur310
151.0 PJ%
151.25 1
151.5 3%
151.75 1
152.0 ZYOJHE@1(%
152.5 E@3(%
153.0 oh1%
153.25 E@1(
153.5 3%
154.0 E@1(%
154.25 1
154.5 E@3(%
154.75 E@1(
155.0 %
155.25 1
155.5 YE@3(%
155.75 ur310
156.0 YE@1(%
156.5 E@3(%
157.0 1%
157.25 E@1(
157.5 ye932%
157.75 YE@(
158.0 zyje921%
158.25 921
158.5 3%
158.75 1
159.0 ye92%
159.25 921
159.5 3%
159.75 1
160.0 ^ZYJED@1*(%
160.5 E@3(%
161.0 zd1%
161.25 E@1(
161.5 3%
162.0 kaE@1(%
162.25 1
162.5 3%
162.75 E@1(
163.0 PJ%
163.25 1
163.5 YE@3(%
163.75 ur310
164.0 ZYED@1(%
164.5 E@3(%
165.0 zd1%
165.25 E@1(
165.5 3%
166.0 rka310%
166.25 1
166.5 3%
166.75 ur310
167.0 xf%
167.25 1
167.5 3%
167.75 1
168.0 ZYJED@1(%
168.5 E@3(%
169.0 1%
169.25 E@1(
169.5 3%
170.0 E@1(%
170.25 1
170.5 E@3(%
170.75 E@1(
171.0 %
171.25 1
171.5 YE@3(%
171.75 ur310
172.0 YE@1(%
172.5 E@3(%
173.0 1%
173.25 E@1(
173.5 ye932%
173.75 YE@(
174.0 zyje921%
174.25 921
174.5 3%
174.75 1
175.0 ye92%
175.25 921
175.5 3%
175.75 1
176.0 ^ZYJED@1*(%
176.5 E@3(%
177.0 zd1%
177.25 E@1(
177.5 3%
178.0 kaE@1(%
178.25 1
178.5 3%
178.75 E@1(
179.0 PJ%
179.25 1
179.5 YE@3(%
179.75 ur310
180.0 ZYED@1(%
180.5 E@3(%
181.0 zd1%
181.25 E@1(
181.5 3%
182.0 rka310%
182.25 1
182.5 3%
182.75 ur310
183.0 PJ%
183.25 1
183.5 3%
183.75 1
184.0 ZYOJHE@1(%
184.5 E@3(%
185.0 oh1%
185.25 E@1(
185.5 3%
186.0 E@1(%
186.25 1
186.5 E@3(%
186.75 E@1(
187.0 %
187.25 1
187.5 YE@3(%
187.75 ur310
188.0 YE@1(%
188.5 E@3(%
189.0 1%
189.25 E@1(
189.5 ye932%
189.75 YE@(
190.0 zyje921%
190.25 921
190.5 3%
190.75 1
191.0 ye92%
191.25 921
191.5 3%
191.75 1
192.0 r^ZYQJD71*%
192.5 rQ73%
193.0 zd1%
193.25 rQ71
193.5 3%
194.0 rkaQ71%
194.25 1
194.5 3%
194.75 rQ71
195.0 PJ%
195.25 1
195.5 rQ73%
195.75 rQ71
196.0 rZQD71%
196.5 WQ3%
197.0 zd1%
197.25 WQ1%
197.5 3%
198.0 wka510%
198.25 1
198.5 3%
198.75 u310
199.0 xf%
199.25 1
199.5 3%
199.75 1
200.0 ^ZYJED@1*(%
200.5 E@3(%
201.0 1%
201.25 E@1(
201.5 3%
202.0 E@1(%
202.25 1
202.5 E@3(%
202.75 E@1(
203.0 %
203.25 1
203.5 YE@3(%
203.75 ur310
204.0 YE@1(%
204.5 E@3(%
205.0 1%
205.25 E@1(
205.5 ye932%
205.75 YE@(
206.0 zyje^932%
206.25 921
206.5 1%
206.75 3*
207.0 ye921%
207.25 921
207.5 ^3%
207.75 1
208.0 e^Q1*%$
208.5 q4
209.0 e2%
209.25 q4
209.75 q41
210.0 qe41%
210.5 310
211.0 eY@2(%
211.5 @(
212.0 e1%
212.25 Q$
213.0 qe42%
213.75 q41
214.0 qe41%
214.5 310
215.0 eY@2(%
215.5 @(
216.0 eQ1%$
216.5 q4
217.0 e2%
217.25 q4
217.75 q41
218.0 qe41%
218.5 310
219.0 eY@2(%
219.5 @(
220.0 e1%
220.25 Q$
221.0 qe42%
221.75 q41
222.0 qe41%
222.5 310
223.0 eY@2(%
223.5 @(
224.0 re^Q@1*%$
224.25 @
224.5 qE4(
224.75 @
225.0 e@2%
225.25 qE4*
225.5 @
225.75 qE@41
226.0 qeE741%
226.25 @
226.5 e@310
226.75 6
227.0 eYO@2(%
227.25 @
227.5 W@6(
227.75 7
228.0 e@1%
228.25 rQ@$
228.5 (
228.75 @
229.0 qeE@42%
229.25 *
229.5 @
229.75 qE@41
230.0 qeE741%
230.25 @
230.5 e@310
230.75 6
231.0 eYO@2(%
231.5 W@(
232.0 reQ@1%$
232.25 @
232.5 qE4(
232.75 @
233.0 e@2%
233.25 qE4*
233.5 @
233.75 qE@41
234.0 qeE741%
234.25 @
234.5 e@310
234.75 6
235.0 eYO@2(%
235.25 @
235.5 W@6(
235.75 7
236.0 @
236.25 rQ@$
236.5 (
236.75 @
237.0 qE@4
237.25 *
237.5 @
237.75 qE@4
238.0 qE74
238.25 @
238.5 e@30
238.75 6
239.0 YO@(
239.5 W@(
240.0 ^ZYJD@1*%
240.75 Y(
241.0 @%
241.5 ra
242.0 @1(%
242.25 PE@
243.0 @(%
243.25 @
244.0 zj21%
245.0 2%
246.0 921%
246.25 2
247.0 3%
248.0 ZYJD@1%
248.75 Y(
249.0 @%
249.5 ra
250.0 @1(%
250.25 PE@
251.0 u@0(%
251.25 @
252.0 xk31%
253.0 3%
254.0 310%
254.25 3
255.0 w5%
255.25 3
256.0 ^ZYJD@1*%
256.75 Y(
257.0 @%
257.5 ra
258.0 @1(%
258.25 PE@
259.0 @(%
259.25 @
260.0 zj21%
261.0 2%
262.0 921%
262.25 2
263.0 3%
264.0 ZYJD@1%
264.75 Y(
265.0 @%
265.5 ra
266.0 @1(%
266.25 PE@
267.0 u@0(%
267.25 @
268.0 xk31%
269.0 3%
270.0 310%
270.25 3
271.0 w5%
271.25 3
272.0 ^ZJE@1*(%
273.0 E@31*(%
274.0 YP@1*(%
274.25 E@(
275.0 YP@31*(%
275.25 E@(
276.0 zje921*%
277.0 e9321*%
278.0 yp921*%
278.25 e92
279.0 r310*%
280.0 ZJE@1*(%
281.0 E@31*(%
282.0 YP@1*(%
282.25 E@(
283.0 YP@31*(%
283.25 E@(
284.0 xrk310*%
285.0 r310*%
286.0 ua310*%
286.25 r30
287.0 wro531*%
287.25 30
288.0 ^ZJE@1*(%
289.0 E@31*(%
290.0 YP@1*(%
290.25 E@(
291.0 YP@31*(%
291.25 E@(
292.0 zje921*%
293.0 e9321*%
294.0 yp921*%
294.25 e92
295.0 r310*%
296.0 ZJE@1*(%
297.0 E@31*(%
298.0 YP@1*(%
298.25 E@(
299.0 YP@31*(%
299.25 E@(
300.0 xrk310*%
301.0 r310*%
302.0 ua310*%
302.25 r30
303.0 wro531*%
303.25 30
304.0 ^ZJED@1*(%
304.75 Y
305.0 E@31*(%
305.5 a
306.0 YP@1*(%
306.25 PE@(
307.0 YP@31*(%
307.25 E@(
308.0 zje921*%
309.0 e9321*%
310.0 yp921*%
310.25 e92
311.0 r310*%
312.0 ZJED@1*(%
312.75 Y
313.0 E@31*(%
313.5 a
314.0 YP@1*(%
314.25 PE@(
315.0 uYP@31*(%
315.25 E@(
316.0 xrk310*%
317.0 r310*%
318.0 ua310*%
318.25 r30
319.0 wro531*%
319.25 30
320.0 ^ZJE@1*(%
320.75 D
321.0 E@31*(%
321.5 k
322.0 YP@1*(%
322.25 JE@(
323.0 YP@31*(%
323.25 E@(
324.0 zje921*%
325.0 e9321*%
326.0 yp921*%
326.25 e92
327.0 r310*%
328.0 ZJE@1*(%
328.75 D
329.0 E@31*(%
329.5 k
330.0 YP@1*(%
330.25 JE@(
331.0 fYP@31*(%
331.25 E@(
332.0 xrk310*%
333.0 r310*%
334.0 ua310*%
334.25 r30
335.0 wro531*%
335.25 30
336.0 ^ZJE@1*(%
336.75 Z
337.0 E@31*(%
337.5 n
338.0 YP@1*(%
338.25 EB@(
339.0 YP@31*(%
339.25 E@(
340.0 zjed921*%
340.75 Y
341.0 e9321*%
341.5 a
342.0 yp921*%
342.25 eP92
343.0 r310*%
344.0 ZJE@1*(%
344.75 @
345.0 E@31*(%
345.5 7
346.0 YP@1*(%
346.25 ^E@(
347.0 YP@31*(%
347.25 E@(
348.0 xrk310*%
349.0 r310*%
350.0 ua310*%
350.25 r30
351.0 wro531*%
351.25 30
352.0 ^ZJE@1*(%
352.75 Z
353.0 E@31*(%
353.5 n
354.0 YP@1*(%
354.25 EB@(
355.0 YP@31*(%
355.25 E@(
356.0 zje921*%
357.0 e9321*%
358.0 yp921*%
358.25 e92
359.0 r310*%
360.0 ZJE@1*(%
360.75 Z
361.0 E@31*(%
361.5 n
362.0 YP@1*(%
362.25 EB@(
363.0 xYP@31*(%
363.25 E@(
364.0 xrk310*%
365.0 r310*%
366.0 ua310*%
366.25 r30
367.0 wro531*%
367.25 30
368.0 ^ZJED@1*(%
368.75 Y
369.0 E@31*(%
369.5 a
370.0 YP@1*(%
370.25 PE@(
371.0 YP@31*(%
371.25 E@(
372.0 zje921*%
373.0 e9321*%
374.0 yp921*%
374.25 e92
375.0 r310*%
376.0 ZJED@1*(%
376.75 Y
377.0 E@31*(%
377.5 a
378.0 YP@1*(%
378.25 PE@(
379.0 uYP@31*(%
379.25 E@(
380.0 xrk310*%
381.0 r310*%
382.0 ua310*%
382.25 r30
383.0 wro531*%
383.25 30
384.0 ^ZJE@1*(%
384.75 D
385.0 E@31*(%
385.5 k
386.0 YP@1*(%
386.25 JE@(
387.0 YP@31*(%
387.25 E@(
388.0 zje921*%
389.0 e9321*%
390.0 yp921*%
390.25 e92
391.0 r310*%
392.0 ZJE@1*(%
392.75 D
393.0 E@31*(%
393.5 k
394.0 YP@1*(%
394.25 JE@(
395.0 fYP@31*(%
395.25 E@(
396.0 xrk310*%
397.0 r310*%
398.0 ua310*%
398.25 r30
399.0 wro531*%
399.25 30
